,pred_str,text
219,si sind mit ticht vochnüpft de franze als audicke kuaste voziert,sie sind mit dicht vochnüpfte franse als au dicke quaschte voziert
220,ivrosttlürch werdetie au als kaulkuappe bezeichnet,bi de froschlürch werded die au als kaulquappe bezeichnet
221,zusätzlech vostortter tavns vode oubi in gege neu am afang nöd,zuesätzlich vostoht er davance vo de ruby ihm gegenüber am afang nöd
222,er het glichzitigakitisiert dass de damali koschtegünstigisiger krippen vonsab us de evaluation usgschlosse wodeeg,er het glichziitig au kritisiert dass de damalig chostegünstigi sieger gripen von saab us de evaluation usgschlosse worde seg
223,bsundose egestängel über de winterstor gloh werded wil de distelfink frist zorme,bsunders wenn ihri stängel über de winter stoh glo werded will de distelfink frisst dsome
224,de aueschuetz isch dore volksabstimmig nünzedrüenüns gentstande,de aueschutzpark isch dur e volksabstimmig nünzehdrüehnünzg entstande
225,si t zwetusigifzehlebezi wild und ohni zuetue vumne imker,sit zweituusigfüfzeh lebed sie wild und ohni zuetue vomne imker
226,lutdebünt no jaktvorschefte dorf ven jekoprojor achthaseschüsse,lut de bündner jagdvorschrifte dörf en jäger pro johr acht hase schüsse
227,schutzbläch isch aberge,sschutzblech isch abgfalle
228,wie kunkeh dbvor bereitige ide kantön usgoronavier us usgset isch enterschidlech,wie konkret dvorbereitige i de kantön uf scoronavirus usgseht isch unterschiedlich
229,i de schwiez wir dedbr jo viertusig doemedi kamentd enzogt,i de schwiiz werded pro johr viertuusig tonne medikament entsorgt
230,deensche wo sich de umgang mitzötig neprofiaskenöt gvonzind chönte zi soga e zuesetzlechsrisi kodarstele,für mensche wo sich de umgang mit sötigne profimaske nöd gwohnt sind chönted sie sogar e zuesätzlichs risiko darstelle
231,amason wöd kuant um komputing selorfähigmache,amazon wott quantum computing salonfähig mache
232,es wir zusch d bewölkig imoste lockreid of,es wird sunnig dbewölkig im oste lockered uf
233,mornalledings heitst inzug den duch daprilsune wieder ih,morn allerdings heizt in zug denn doch daprilsune wider ii
234,di beide bläckboke ind geporge und sölledi miran untersuecht werde,die beide blackboxe sind geborge und sölled im iran untersuecht werde
235,alkol döttetiohrlech drmillione mensche seitt wea dabak ser achtmillione,alkohol tötet jöhrlich drü millione mensche seit dwho  tabak sogar acht millione
236,ussodem werded d mensche i nodkorea talwis däglich stundelang politi gshueld,usserdem werded dmensche i nordkorea teilwiis täglich stundelang politisch gschuelt
237,dezuesihe de becki flachwasser zone gshaffe,dezue sind i de becki flachwasserzone gschaffe
238,nul kanzkenze und zweituusig trü hundert meper,nullgradgrenze um zweitussigdrühundert meter
239,di riche werded immerreiichar die ae immer ermer,di riiche werded immer riicher di arme immer ärmer
240,schwizsid füfjer s freihandels abkrome mitt crina,dschwiiz het sit füf johr es freihandelsabkomme mit china
241,eist mi vorderet lade infrastrucktuduechus,da heisst mir fordered dladeinfrarstruktur durchus
242,aisbspil e cafi fipozi usziri het ihm oktober zweituusigünze für di jungsvop kandidiert,eis biispil de jeffrey ferpozzi us züri het im oktober zweituusignünzeh für di jung svp kandidiert
243,sborteffei es schlarveland für musiggebhaber,spotify  es schlaraffeland für musigliebhaber
244,dstürig vo de motore oder de chüelsistem hend stüdente selbepogamiert,dstüürig vo de motore oder de chüelsystem hend dstudente selber programmiert
245,d schwii zo wirtschaf hoftsich vo däm de abbau vo zöll unde handusbeschränkige,dschwiizer wirtschaft erhofft sich vo dem de abbau vo zöll und handelsbeschränkige
246,de plan isch voregloh wode,de plan isch falle gloh worde
247,no varem auebau ish sini vamile mit imu fesbelin gflue,no vorem mauerbau isch sini familie mit ihm uf westberlin gflohe
248,si ghochet inm criexsvellamnebanere wo iranze zumnebaner voreinigt het,si ghorched im chriegsfall amne banneret wo ihri lanze zumne banner vereinigt het
249,neia het sich hetzaltmol dötane ghockt,nei er het sich jetzt halt mol döt ane ghockt
250,i m in bfuschi doine bisine wo nöd usgstande isch,i mein pfusch i do in öpis ine wo nöd usgschtande isch
251,so stricksctu anm babi keiaimitze wi minialtmarm immer gseit het,so stricksch du dem baby kei neui mütze wie mini alt mum immer gseit het
252,e zwinkhei entscheide bevord bereibi,erzwing kei entscheidig bevord bereit bisch
253,woas och e den do,wa suechsch du denn do
254,de spiler het er reiseschtresnadem spielnigs üsgmacht,de spieler het der reisestress nah dum spiel nix üsgmacht
255,zsnöschadiki t hagel voffbis drmilimeter,zneuchatel kit hagel va füüf bis drii milimeter
256,aber derwartig itschtes di digitalteliffonidi gliich glöibwürdikeit und frallum stabili täthet wiet dana logteleffoni,aber derwartig isch dass die digital telefonie die glich glöibwürdigkeit und vor allum stabilität het wie danalog telefonie
257,di eifi vaner feiscterbankha va geböe zibde warieru,die teifi vaner feischterbank cha va gebäude zu gebäude variieru
258,mit hilfva ihrusch ghörsiänent schischisch im dunkloperfektoriunt tieru,mithilf va ihrusch ghörsinn chännunt schi schich im dunklu perfekt orientieru
259,archä sen,starche föhn
260,ufnu fäst iner willa klauter ant unes wärdfols farzig,ufemu fäscht iner villa klaut der anton es wärtvolls fahrzig
261,o guaffer shtet bim wäsche hinner ie,der coiffeur steit bim wäschu hiner ihm
262,züedem hetmono in jenerzit in gliechtu steiner füesspalnationalmantschafüeffu,züedem het mu nu in jener zit in dliechtusteiner füessballnationalmannschaft berüefu
263,wenü üsachust gangsitzam und löf ni fan wäg ab,wenn dü üsachusch gang sittsam und löif nit vam wäg ab
264,hitu chanich feister un porte offola es chundken fleiga i,hitu chan ich feischter und porte offu lah es chunt küm en fleiga ih
265,um die bodiwersit täriner schwiz stez nit güet vill dierum flanzoarte sind gfärdut,um die biodiversität iner schwiz steits nit güet vill tier und pflanzuarte sind gfährdut
266,zo kihrt di grundbsitzeriisa bella branwal der hittu nie traktor und töfkrach sunder zwacku va löibfresch,so kehrt die grundbsitzeri isabella braunwalder hitu nimme traktoru und töffkrach sodern zquaku va löibfresch
267,schrifti ch lwät schi la miteila mo stäg i ängug üstüsch mit dum bundesamt ver gsuntheit,schriftlich lähnt schi lah mitteilu mu stäge in ängum üstüsch mit dum bundesamt fer gsundheit
268,nau  der gsuntesversorgigspräund shi tema wi e mobilität öffentlichi sicheheit wohnu und sowiterah,näbu der gsundheitsversorgig sprächunt schi theme wie mobilität öffentlichi sicherheit wohnu und so witer ah
269,im negschtu jahr sol häntdtracking der ze cho,im negschtu jahr soll handtracking derzüe cho
270,z abfieru vaneraget erfolgt oberzituflächi vom farzig,zabfiiru vane rakete erfolgt uber dsituflächi vam fahrzig
271,dachlaglitut ufvolksverhetsig und verbreitigfa propaganamatrial va derfassigsfeindlichu organisatione,dahchlag lütut uf volksverhetzig und verbreitig va propagandamaterial va verfassigsfeindlichu organisatione
272,zweitsterch stiparti isch zozialdemukratisch arbeitparti vo titschöshtricho,zweitsterchschti parti isch dsozialdemokratisch arbeiterparti va ditschöschtrich cho
273,fah da isch s witzüfärzgangu,va da üs ischs witer üfwärts gangu
274,d maria wird betöiptun e bstel gfahru,dmaria wird betöibt und zer baustell gfahru
275,ä sind d wolkenurzum elinubärge voder zentralund osct schwitz un nortbündu,zäjer sind dwolke nur zum teil inu bärga va der zentral und oschtschwiz und znordbündu
276,am samsta chunstöi immer chelter und bisem abo gisch de floke bi s in sflachland,am samstag chunts öi immer chelter und bis emabu gits de flocke bis ins flachland
277,der zögit sim sidu veliesparkwelwolke öi uber du bärge aberiblibund harmlus,derzüe gits im südu veli es paar quellwolke öi uber du bärga aber die blibunt harmlos
278,im wallis gits s par gresseri wolicke,im wallis gits es paar gresseri wolkulicke
279,na jue sangatione gäwuch hanei hent dass bewise,dnöiju sanktione gägu chamenei hent das bewiesu
280,zo plant der us üzu minister meik pompo es wältwizpüntnis gägu das land,so plant der usüssuminischter mike pompeo es wältwits bündnis gägu das land
281,wir disnsilnes jfgetieränrat diegigjfatiw dezäpää piä,wier hei zbrasilien es fragmentierts parlamänt die gregscht fraktion het zäh prozänt vane sitza
282,hoff he die efüsländisch dacheiferfaueride,hoffet ier öi üf üsländischi chöifer va ewer idee
283,vor derbundespresitintin si munettas um aruga rede derwe ifgunder klaus scwab,vor der  bundespresidäntin simonetta sommaruga redut der wefgründer klaus schwab
284,der an drias fätet aner wm vane ringerz kasachstan fer es üsrievezeichu gsorgt,der andreas vetsch het aner wm vane ringer zkasachstan fer es üsriefezeichu gsorgt
285,ch weis dass sü dass nit wilt das s ch ind iner verganguheit wiehlu u das han nöinie gmacht,ich weiss dass dü das nit willt dass ich in diner verganguheit wiehlu und das hani öi nie gmacht
286,wen tieri üs nahzuch de stammunt haltdi akuarie verelatifknproblematisch,wenn tieri üs nahzuchte stammunt halti aquarie fer relativ unproblematisch
287,hols isch es vertruzmateriahl udöi eis waschön cha oltru,holz isch es vetruuts material und öi eis wa schön cha altru
288,wöns stroverbrchtisch rutschts va e lei immerwiter i berich mit betobodu,wenn zstroh verbrücht isch rutschts va ellei immer witer inu berich mit betobodu
289,es gäbä zwenig wisseschaftglichi bewisa das d flaneschutzmittelch rebserzig hets damalsgheisse,es gäbe zwenig wissuschaftlichi bewisa dass zpflanzuschutzmittel chrebs erzige hets damals gheissu
290,so isch im wallis di kantonstraseischu zanias unt zermat gspert gsi,so isch im wallis die kantonsstrass zwisch zaniglas und zermatt gsperrt gsi
291,in achstock vam aba hüs und flädermischwipplini und zi en da ihruschiunguüf,im dachstock vam ahbau hüsunt flädermischwiblini und ziehnt da ihrusch jungu üf
292,dü malsch dass ja änzbüs,dü malsch das ja änz bunt üs
293,der mülwurf grabut schiduch däeda,der mülwurf grabut schi durch därda
294,du geschlislig uer de achbodu,dü geisch lislig uber de dachbodu
295,richha ich ladich geztlot,richard ich lah dich jetz los
296,ha öi jam ramt upf gnascht meischter,ha öi amu rahmtopf gnascht meischter
297,i stossodmaascha drch di gägend die kidou und schlaht mit dum chupffgägu änglas desch,schi stossut dmarsha durch di gägend di kit um und schlat mit dum chopf gägu en glastisch
298,wis e sparerdä mit de erit tas oen huffe gäld,wiso spart er dänn mit de marita sonen huufe gäld
299,inethjopie grüessi me sich biage kontackt är we mer sich nöd käni,in äthiopie grüessi mer sich bi augekontakt au wenn mer sich nöd känni
300,abe het auned irsproche,aber er hät au nöd widersproche
301,d elprivatisierig hät khei uswürkige ofs interaenahle gschäfft,d teilprivatisierig hät kei uswürkige ufs internationale gschäft
302,ide jahr nach d unnobhäinggkeit het sech im bundi zuenähmend es chas usbreitet,i de jahr nach de unabhängigkeit hät sich in burundi zuenähmend es chaos usbreitet
303,de grungedanke vo däre regig isch dass dademih d waffeglicheizwüschtde partäe gwoat wirt,de grundgedanke vo dere regelig isch dass dademit d waffeglichheit zwüsched de parteie gwahrt wird
304,de dep isch n öbei nicknolte au usfüer en debrodezänd gsi,de depp isch näbedem nick nolte au usfüehrende produzent gsi
305,die chemisch stuck duur ähndlet starchtäreä vo fluegsetin,di chemisch struktur ähndlet starch dere vo fluoxetin
306,si wärde trainell am dunstig vor em ascte nitwuchgässe,si werded traditionell am dunstig vorem aschermittwuch gässe
307,ide folgenahr isch es zum ifacha bründerige durfranzösischi truppacho,i de folgende jahr isches zu mehrfache plünderige dur französischi truppe cho
308,de fal hauert ischnelwsheitere himmel passiertt er hatd vilmeh en sistem färdber ufteckt,de fall hauert isch nöd us heiterem himmel passiert er hät vill meh en systemfähler ufdeckt
309,bunsrät t räet zowietischi und russischi minister,bundesrät träffed sowjetischi und russischi minister
310,ugslülggtetxxtt,e million arte sind momentan vom ussterbe bedroht
311,vorallem häte sich aber ennamea al spezerist noimusiggmacht,vorallem het er sich aber en name als spezialist für noi musig gmacht
312,ufvi hätde sich zm könig usrevelah,drufhi hät er sich zum könig usrüefe lah
313,er isch mit ründer vom lettische pue veband gsi,er isch mitbegründer vom lettische pureverband gsi
314,die masna zur verbesserig vo deerärigslag isch der bure lobiufidestand gstusse,die massnahm zur verbesserig vo de ernährigslag isch ide puurelobby uf widerstand gstosse
315,dadbi isch zin glnge erebellische ba rön spalte und nachenand zbesige,dadebi ischs ihm glunge di rebellische barön zspalte und nachenand zbesige
316,d hrittiker werfet de regiigpinkaschingfor,kritiker wärfed de regierig pinkwashing vor
317,de uspresiänt on eld tramp hät se fdas zehrschmitroige reagiert,de uspresidänt donald trump hät uf das zerst mit drohige reagiert
318,de sächefüfzgiärig wil für deftpde ständerazitz vom parikho leg jachim eer wod zruckträtet verteidige,de sächsefüfzgjährig will fürd fdp de ständeratsitz vom parteikolleg joachim eder wo zruggträtted verteidige
319,di scif vo lälderach ischwägsinre christlich öberzügig ass frauefeinlich ond homo vopetzänet worde,de chef vo läderach isch wäg sinere christliche überzügig als frauefeindlich und homophob bezeichned worde
320,jaet natüllische sin nationals ränne sch bezelli useforderig,ja natürli isch es internationals renne e spezielli useforgerig
321,na hät si g sei und luterbrüeled,nei hät si gseit und luter brüeled
322,aber er hät id widersproche wo si sich gweigeret hät,aber er hät nöd widersproche wo si sich gweigered hät
323,ich viel nöt dass du na iter mitinnere mue terstript isch,ich will nöd dass du no witer mit dinere mueter stritisch
324,am zistig und miuch nur zum steil sunnig algemeinschwül und gwittrig,am zistig und mittwuch nur zum teil sunnig allgemein schwül und gwittrig
325,d schneflock achse dus sächsegige iskristal,d schneeflocke wachsed us sächseggige iskristall
326,si mo netta sumar ugaich bin sehr froh und dankbar für d arbet im ständerad,simmonetta sommaruga ich bin sehr froh und dankbar fürd arbet im ständerat
327,de isch bi klipolitische frage er ufdklötz,de isch bi klimapolitische frage eher ufd chlötz
328,es gebizenig wisseschaftlichi bewis dass bflanzeschutzmittel chräbs git häts dazumalgheisse,es gäbi zwenig wüsseschaftlichi bewis dass s pflanzeschutzmittel chräbs git häts dazumal gheisse
329,im kanteonargä chame drum keintstatlandgrabe gse,im kanton aargau chamer drum kein stadtlandgrabe gseh
330,de ellgrekko hät d vilereigiösi bilder und bortreissusgmat,de el greco hät vill religiösi bilder und portraits usgmalt
331,de sos hät behaubtet das s in uftrag vom fäckelten im d kontolle über alli schlittaktiwitäte ge hät,de joyce hät behauptet dass sin uftrag vom shackleton im d kontrolle über alli schlitteaktivitäte geh hät
332,d habtawändig isch gege breitblei uchrüter widistle chrot depösche winde und storch schnabel gchtet,d hauptahwändig isch gäge breitblättrigi uchrüter wie distle chrotepösche winde und storchschnabel grichtet
333,de säm hät si nase grie,de sam hät sich d nase gribe
334,ich stibizi nus de voratschamer,ich stibitz ihn us de vorratschammere
335,er sch es wor chindklaut hät,er isches wo oises chind klaut hät
336,drungsttrthau hi und  ab,drum stürz ich au hi und da ab
337,sie oberfläche isch unebe gsi,sini oberflächi isch unebe gsi
338,in melbn ischerim halpvinal amowak scoko witst gscheitzet,in melbourne ischer im halbfinal am novak djokovic gscheitered
339,das gäl zöll lud barmelan scho das janwigsetzt werde,das gäld söll lut parmelin scho das jahr igsetzt werde
340,de hetgis sini ufegi bim kcrlima sts nöt gmacht,de hegi sini ufzgi bim klimaschutz nöd gmacht
341,und versicheretti u vir das zaend,und versichereti wo für das zahle münd
342,sbovelige kurchus hä is varchurzm lime zude iebahnbast,s boufellige kurhus hät bis vor churzem nüme zude noie bahn passt
343,s unter näme erb um neoichunde,s unternehme wirbt um noi chunde
344,wo häsch si is versteckt,wo häsch s chies versteckt
345,fänsteruskunnstoff chönd sehrändlich usgsewi holzigi fänster bi uf de olie flächi holtscocktur abockt werde chan,fänster us kunststoff chönd sehr ähnlich usgseh wie holzigi fänster will uf de folieflächi holzstruktur abdruckt werde chan
346,dän isch si als ussakorespondäntin uf semfernsisgvog gange und isch korespondäntin i de vesti zgsi vo si zrukisch,dänn isch si als usakorrespondäntin uf san francisco gange und isch korrespondäntin ide westschwiz gsi wosi zrugg cho isch
347,zuesälich häts villerson ölliwächselgeh,zuesätzlich häts vill personelli wächsel geh
348,di end au meus,die gänd au meh us
349,die flinsti beteiligung händ kontön uuri mit z weidris prozänt glar us smitteedrisg prozänt ond apbezäll innerode mit vieredrisg prozänt gha,di chlinschti beteiligung händ d kantön uri mit zweiedrisg prozänt glarus mit drüedrisg prozänt und appezell innerrhode mit vieredrisg prozänt gha
350,bernn arge graubinde mäldete birekörd,bern aargau und graubünde mälded noi rekörd
351,dia hätschte sänch  au de zueschlag ibercho,die hät schlussändlich au de zueschlag übercho
352,er dasmüssed erheblichli sicherheits bedänke dasi wi zumwist bilenstorm,für das müssted erheblichi sicherheitsbedänke da si wie zum bispil en sturm
353,ide gshricht vode superlig häets achtdspiltä gäh wo viert partie unintshe usgange sind,ide gschicht vode super leage häts acht spiltäg geh wo vier partie unentschide usgange sind
354,d cohl vode berlinner falledvor nachgüetgithell vode gäst geber,d goal vode berliner falled aber nach güetiger mithilf vode gastgäber
355,ide rigespiel stöntrüpartiegägetims a wonom plejofs känmpfed,i de übrige spil stönd drü partie gäge teams ah wo no umd playoffs kämpfed
356,pollitikbeiflussieri arbed nötd wüsseschaft,politik beiflussi ihri arbet nöd d wüsseschaft
357,bi de nafellig we e vorsichtig und schüc,bide nahstellig wird er vorsichtig und schüch
358,nö bruch sif zätel und gfläppand,mer brucht stift zättel und chläbband
359,d fraue beahrbeidet tälder und mache krälli schmuck wo si de turiste verchaufed,d fraue bearbeitet d fälder und mached chrällelischmuck wo si de touriste verchaufed
360,si ei sch alls vezierig entwerrediräkt oder mitere kordla de paagmacht,si isch als verzierig entweder direkt oder mitere kordle ade chappe ahgmacht
361,z vorbilt fürdass bjekt isch am marsel düschan siss schachtel ihm koffer gsie,s vorbild für das projekt isch am marcel duchamps sis schachtel im koffer gsi
362,de grösti betri bishmolke si,de grössti betrieb isch e molkerei
363,egaui fesstleig vom strck verlauf isch obenonig beschlosse worde,e gnaui festlegig vom streckeverlauf isch aber nonig beschlosse worde
364,de inneri frite in ängland isch aber nur obefächlich gsi,de inneri fride in england isch aber nur oberflächlich gsi
365,debund in friet über goronawirussi twationüde schwiz,de bund informiert über d coronavirussituation ide schwiz
366,hnamit dematureend amenzistigtzerwarterr,ahgnähmi temperature send abem zischtig zerwarte
367,bät föder dossmoter dange ond zeit osem höt de vaseste frgoziore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
368,gitnin end jorgäng wosertnitlidetiordäfä el ni emmertinbtifenif,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
369,ftwener et zond zwoi alpbtriebenigergehn doch ei ele het si shusmetlerwilef chuft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
370,evölld drechtineg vome amoberölos,die erföllt drichtlinie fode who mühelos
371,deek edech buech beene bee beie en bebebechr ondebawegte,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
372,e eättife enufgräge weruigi en gleidigint dodened inm mätieruugwöt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
373,bede hwelcagechenne düntebirchiang gnade,ede hochlage chönne dwenter dorchus sträng wärde
374,beforde  ach elsde werdachoesch escher em sächiescherot ond stalalder fomärseborese,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
375,sschissme het dodure aui morde izokalten dheteen zeit,sschisma het dodore au em orde izog ghalte ond het de entzweit
376,die sentemmet deckferschnöpti franze so wiike kuateverziebert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
377,au se et leterwärasgnösberwändi,au sini blätter wärde als gmües verwändet
378,bzsonde siede rommantie häntigrüene chönne bfonkhte,bsonders ede  romandie händ die grüene chönne ponkte
379,eusgank vode scasrofttallehdkante gänf esch offe,de usgang fode ständerotswahle em kanton gänd esch no offe
380,disdächsedit jöhriges vanenänei,die sächsedrigs jährig zieht es parlamänt ih
381,patric honstetter klinmaschotzektbäte bewewef schwiz esch ader entüst vode konferänz in madrite,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
382,zobdenskbrurff tüm ond a kltivepolitik bsert veri bare,so lönd sech bruef studium ond aktivi politik besser veribare
383,är eden egneid bebikibuch in gochuchknugä,er het en scher gno ond de decki buch vom wolf ufgschnette
384,ede letschte däkg sin ehne au schtrallie zwarschtorzfluet on drisgi hage chöener vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
385,aobersomdeeieegi eella ond oldi en fontfe,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
386,om biodivesite schwitz sotsnegguet veligier ond flansarte send gördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
387,dievs iscth halsso gnanti spracht zu tek enschin gsprochnig siächtiti tegstt kommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
388,wenn genaut flagge zom ersctemolghesseword esch loht znöme lofeschtstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
389,au emeno uftreänlech het si glo eättrentleche noedig,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
390,doterfabheter sich zgloschrüffe,dodrufabe heter sech zom könig lo usrüefe
391,inden aupfopoezgittelledibetrofe stele a wäbe de häis rot ond bekobelbottbre,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
392,endjet sech räcignreschtsrömewe störigebesesnetemeromene gre,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
393,de jurah ond ad voralteregeblibesunnig,de jura ond au dvoralperegione bliebe sonnig
394,i elehtsuceneberhenfetis siggäsch de barosal obestefiree,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
395,ui gurer aber au kaso stane datare oe kirgise,uigure aber au kasachstane tatare ond kirgise
396,ich befföene gschlage ond dranktassiert worde goptvelon,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
397,de dhecnighärgt iseträden debägebenterneine en dini icte wirentikli end deech verhäifeänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
398,es egibsi abere gbssischdeposevellifurene anzkolegt träffe wen au i chorzu zit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
399,sonder losträtte vo jugendliche wo ets grossi pardeii es schwezerbringe,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
400,eäbi gäg d näeaten  nüch bwien ein wägtöfeebinde ferdeen verwictägligenunduchwä glögä,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
401,eneade em rofe,ond es wartet niemert of dech
402,echamen häetigeinedestellewedee es wärdieärochhe,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
403,er isst meemmer aleswägg,er esst mer emmer alles weg
404,hes sen t bäneshschaftwähswälter gsi wo daeech beas ehein,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
405,efteben hetet di ägel ond höpe bee ond wächegüert,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
406,e eha milietrama weren stritriebpoteretwert wo bescoldigwert besctächig selderagnaosh,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
407,e meise le eiallöt send die brobietholde,die meiste szene ond dialög send improvisiert worde
408,ibie das s stüpebachet her erounamipossere,ich be das stöck grad nach minere lune am improvisiere
409,een iegeechwede het mie glächedond ed absouti ewei und finoleichltikei,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
410,er ig nemer we lofari macheeeplohe,er esch nöme velo gfahre well sis födli weh do het
411,den het t atebrbe,sam het sech dnase grebe
412,ghen au eso hani gloni dersti gseha,genau eso hani gluegt woni de ersti gseh han
413,äre bänditeck endenti vode länt hänetibe öcfedenechnechwuckicinde un bebegen,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
414,des greel ie gste,usglehnt hanis ned gstohle
415,wensaerstüeches cnet ische fegrit,wens aber störmt ond schneit esch de früehlig nöme wit
416,e tanz int büedem vode ara,sie tanzt met jedem wo deför zahlt
417,me wä e waschinlch alli unbeolfer sie,mer wärde wahrschindlech alli onbeholfe si
418,ugebüpt üser haut wond zwartetig nai,d sunnä blibt üs erhautä und zwar bis mitti nami
419,oderhutcchontackt misch denä ö isch gsundheitlech un bedängli,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
420,de wärdä bsunderst dachbaukä und beschtanteileä ver bärkitä probizierk,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
421,ä isch eine voä mitbegrün vom jungä dütschwizer schpeuveum,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
422,aus frohetie sich d müglächkeit vorä habilitation nüsä ekämfä,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
423,d bahrbiuz escht fürmereiä vu ibier ahrtä ser grlüntäc umerswuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
424,schnäueischer idi damelicgi bolk nä in dekriert wortä nd disch fumäenä bekantä fingethikitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
425,lut em wirtschaftsediker toas beornäer wärdä ungernähmä zuenämt zupolitischä aktörä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
426,ä isch bwaut vorä trotzdepevizit wo ihmsi agbaschtert wort,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
427,drogmuetrun grothäppli düeg näppin oue,d grossmueter und s rotchäppli die schnappimer beidi
428,dass igi besser chat gsee,dassi di besser cha gseh
429,lanwörtschaf flächä bräg landschaft ds but vom schwizer mittuland,landwirtschaftsflächä prägä s landschaftsbiud vom schwizer mittuland
430,breift dlätriknarutz diä orhieä schiiz gschützt,breitblättrigs chnabächrut  die orchideä isch ir schwiz gschützt
431,wo obstpöim stö cha i regemäsig garsäscögu wi der farerot schwant oder deschfächt beobachtisch wärdä he,wo obschtböim schtö chöi regumässig gartävögu wi dr gartärotschwanz oder dr schpächt beobachtet wärdä
432,äggnabu gaup ustmät bidm patbet überwis,ä knaugäubä schmätterling flatteret überd wisä
433,die triskd atmettergrosi dandwitschafe öimer nid nach natuurschtutzlie erbuchplikg,die drissg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech pflegä
434,e figeniträte verwösfeschaft wemetodä vod konlementärmegisin wseschafle eforsct würde,es sig im inträssä vor wüssäschaft we methodä vor komplementärmedizin wüssäschaftlech erforscht würdä
435,ab mizädrüesächzg isch verändich voradium verbotä worchätht,ab nünzähdrüäsächzg isch d verwändig vo radium verbottä wordä
436,im loenshelles gsächä jogendlechi in durcschnid fvier aukoho wärbigä and tac,in los angeles gsächä jugendlechi im durchschnitt vier aukohouwärbigä am tag
437,d lindä it schpis i merderi metebwöckhi mit knouää und wuchäribä übegsnäit,d lindä isch bis i mehreri meter hööchi mit chnouä bülä und wucherigä ubersäit
438,dr aberschpel derbeäe isch rit schnau füre gschossä und het per chopfbau vo ändet,dr abwehrschpiler beier isch blitzschnäu fürägschossä und het per chopfbau vouändet
439,ä schtörnischä ebscht brigtfi gwitter und chautuft,ä schtürmische herbscht bringt viu gwitter und chauti luft
440,die dänschi regierig wo d mitti no fämber biiis vo schweedä nach dännimark i der gränzkontrouä ifüerä,die dänischi regierig wott mitti novämber bir iireis vo schwede nach dänemark wider gränzkontrouä iifüehrä
441,so si göp in chiina mitdr asiatischä infrastrucktur in weebänk ä gägenentwurcht zum iwäffä ntschtandä,so sig öppä in chinä mit dr asiatischä infraschtruktur investmentbank ä gägäentwurf zum iwf entschtandä
442,handlet sechs drbi um meh au oma nachhevä ungerechtt,handlet sechs drbi um me aus numä nachhiufeungerricht
